Air temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Target,Type_H,Type_L,Type_M
-0.7707165450191592,0.29688389883901617,-0.15372179298945268,0.9591213755085378,0,0,0,1
-0.7707165450191592,1.6188742833250624,-1.757705546629235,1.0062534190559442,0,0,1,0
-0.7707165450191592,1.5240479688260635,-1.4569585928217759,1.0376747814208818,0,0,0,1
-0.27418481906944553,-0.0879993776569214,-0.15372179298945268,1.0848068249682883,0,0,1,0
-0.27418481906944553,-0.8075637641493264,0.5480210992279521,1.1162281873332258,0,0,1,0
-0.7707165450191592,0.7821715083338939,-1.1562116390143167,1.1476495496981634,0,0,0,1
-0.7707165450191592,-0.40594643215356546,0.44777211462546573,1.1947815932455699,0,1,0,0
-0.7707165450191592,-0.0656873036571569,-0.755215700604371,1.273334999157914,0,0,1,0
-0.7707165450191592,-0.7183154681502684,2.55300079127768,1.3047563615228515,1,0,1,0
-0.7707165450191592,2.1487860408194694,-1.757705546629235,1.336177723887789,0,0,0,1
-0.7707165450191592,-0.48403869115274123,0.5480210992279521,1.3833097674351955,0,0,1,0
-0.7707165450191592,-0.9470142266478545,0.44777211462546573,1.414731129800133,0,0,1,0
-0.27418481906944553,0.29688389883901617,-0.45446874679691185,1.4461524921650706,0,0,1,0
-0.7707165450191592,0.3470860653384863,-0.755215700604371,1.4775738545300083,0,0,1,0
-0.7707165450191592,-0.8912340416484432,0.6482700838304385,1.5089952168949459,0,0,1,0
-0.7707165450191592,-0.4338365246532711,0.7485190684329249,1.5404165792598834,0,0,1,0
-0.7707165450191592,-0.46730463565291785,0.1470251608180065,1.5718379416248212,1,0,1,0
-0.7707165450191592,-0.7852516901495619,1.1495150068428706,-1.6959837443286894,0,0,1,0
-0.7707165450191592,-0.7629396161497974,-0.2539707775919391,-1.6645623819637516,0,0,1,0
-0.7707165450191592,-0.5230848206523291,0.9490170376378977,-1.633141019598814,0,1,0,0
-0.7707165450191592,-0.49519472815262344,0.7485190684329249,-1.55458761368647,0,0,1,0
-0.7707165450191592,-0.47846067265280007,0.04677617621552012,-1.5231662513215325,0,0,1,0
-0.27418481906944553,-0.3892123766537421,0.04677617621552012,-1.491744888956595,0,0,1,0
-0.7707165450191592,-0.651379246150975,0.7485190684329249,-1.4603235265916572,0,0,1,0
-0.27418481906944553,1.4794238208265345,-1.3567096082192895,-1.4289021642267197,0,0,0,1
-0.27418481906944553,-0.5732869871517992,0.3475231300229793,-1.3817701206793134,0,1,0,0
-0.27418481906944553,0.029139010841842203,-0.8554646852068575,-1.3032167147669693,0,0,1,0
-0.27418481906944553,-0.6681133016507983,0.5480210992279521,-1.2717953524020318,0,0,0,1
-0.7707165450191592,-0.2888080436548019,-0.053472808386966275,-1.2246633088546253,0,0,0,1
-0.7707165450191592,1.194944877329537,-1.4569585928217759,-1.177531265307219,0,0,1,0
-0.7707165450191592,1.6244523018250037,-1.5572075774242622,-1.1461099029422812,0,0,1,0
-0.7707165450191592,1.0499163963310678,-1.256460623616803,-1.1146885405773437,0,0,0,1
-0.27418481906944553,-0.49519472815262344,0.3475231300229793,-1.0675564970299374,0,0,1,0
-0.27418481906944553,0.46422445383724986,-0.8554646852068575,-1.0361351346649996,0,0,1,0
-0.27418481906944553,-1.0474185596467946,1.2497639914453569,-1.004713772300062,0,0,0,1
-0.27418481906944553,0.20205758434001705,-0.45446874679691185,-0.9575817287526557,0,0,0,1
-0.7707165450191592,1.1782108218297138,-1.0559626544118303,-0.9104496852052493,0,0,0,1
-0.7707165450191592,-0.05453126665727466,-0.755215700604371,-0.8633176416578429,0,0,1,0
-0.7707165450191592,-0.0879993776569214,0.44777211462546573,-0.8318962792929053,0,0,1,0
-0.7707165450191592,1.7471687088237084,-1.4569585928217759,-0.8004749169279677,0,0,1,0
-0.7707165450191592,2.5225132803155246,-1.958203515834208,-0.7690535545630302,0,0,1,0
-0.7707165450191592,0.09049721434119457,0.04677617621552012,-0.7376321921980925,0,0,1,0
-0.7707165450191592,-0.5453968946520936,0.04677617621552012,-0.7062108298331549,0,0,0,1
-0.7707165450191592,-0.49519472815262344,0.3475231300229793,-0.6590787862857486,0,0,1,0
-0.7707165450191592,0.291305880339075,-0.8554646852068575,-0.6276574239208109,0,0,1,0
-0.7707165450191592,-0.5230848206523291,0.8487680530354113,-0.5962360615558733,0,0,1,0
-0.7707165450191592,-0.23302785865539064,0.6482700838304385,-0.5648146991909357,0,0,0,1
-0.7707165450191592,0.45864643533730876,-0.755215700604371,-0.5176826556435293,0,1,0,0
-0.7707165450191592,0.18532352884019368,-0.5547177313993983,-0.43912924973118533,0,0,1,0
-0.7707165450191592,1.8587290788225308,-1.757705546629235,-0.40770788736624775,0,0,1,0
-0.7707165450191592,-0.22187182165550837,0.3475231300229793,-0.3762865250013101,0,1,0,0
-0.7707165450191592,-0.2274498401554495,-0.053472808386966275,-0.2977331190889661,0,0,0,1
-0.7707165450191592,-0.294386062154743,0.1470251608180065,-0.25060107554155975,0,0,0,1
-0.7707165450191592,0.787749526833835,-1.0559626544118303,-0.2034690319941533,0,0,1,0
-0.7707165450191592,-0.6011770796515048,0.5480210992279521,-0.17204766962921572,0,0,1,0
-0.7707165450191592,0.1406993808406647,-0.5547177313993983,-0.14062630726427813,0,0,1,0
-0.7707165450191592,0.335930028338604,-0.6549667160018846,-0.10920494489934052,0,0,1,0
-0.7707165450191592,0.9383560263322455,-1.1562116390143167,-0.07778358253440293,0,0,0,1
-0.7707165450191592,-0.40036841365362436,0.04677617621552012,-0.030651538986996525,0,0,1,0
-0.7707165450191592,-0.5900210426516226,0.44777211462546573,0.0007698233779410748,0,0,1,0
-0.7707165450191592,0.10723126984101794,0.1470251608180065,0.03219118574287867,0,0,1,0
-0.27418481906944553,-1.2761173181443808,1.049266022240384,0.06361254810781627,0,0,1,0
-0.7707165450191592,0.04029504784172445,0.3475231300229793,0.09503391047275388,0,0,1,0
-0.7707165450191592,1.0499163963310678,-1.0559626544118303,0.12645527283769148,0,0,1,0
-0.7707165450191592,0.11838730684090018,-0.755215700604371,0.15787663520262907,0,0,1,0
-0.27418481906944553,-1.1701349666454994,2.051755868265248,0.18929799756756668,0,0,1,0
-0.7707165450191592,-0.701581412650445,0.6482700838304385,0.22071935993250427,0,0,1,0
-0.27418481906944553,0.2689938063393105,-0.15372179298945268,0.2521407222974419,0,0,1,0
-0.7707165450191592,0.11280928834095906,-0.5547177313993983,0.2835620846623795,0,0,1,0
-0.7707165450191592,-0.3669003026539776,0.1470251608180065,0.31498344702731707,0,0,1,0
-0.7707165450191592,1.105696581330479,-1.256460623616803,0.34640480939225465,0,0,1,0
-0.7707165450191592,-0.5453968946520936,0.3475231300229793,0.37782617175719224,0,0,0,1
-0.7707165450191592,-0.6067550981514459,0.9490170376378977,0.42495821530459865,0,0,0,1
-0.7707165450191592,-0.9470142266478545,1.3500129760478432,0.47209025885200506,0,0,1,0
-0.7707165450191592,0.9606681003320099,-1.1562116390143167,0.5035116212169427,0,0,0,1
-0.7707165450191592,-0.6625352831508572,0.5480210992279521,0.5506436647643491,0,1,0,0
-0.7707165450191592,-1.3486315586436155,1.550510945252816,0.6291970706766931,0,0,1,0
-0.7707165450191592,-0.5007727466525645,0.9490170376378977,0.6606184330416307,0,1,0,0
-0.7707165450191592,-1.510394095141908,1.550510945252816,0.7391718389539746,0,0,1,0
-0.7707165450191592,-0.1549355996562149,-0.35421976219442547,0.7705932013189123,0,0,1,0
-0.7707165450191592,0.029139010841842203,-0.45446874679691185,0.8020145636838498,0,0,1,0
-0.7707165450191592,1.3343953398280652,-1.1562116390143167,0.8334359260487875,0,0,0,1
-0.7707165450191592,-0.7350495236500918,1.049266022240384,0.8805679695961939,0,1,0,0
-0.7707165450191592,-0.8242978196491497,0.24727414542049292,0.9591213755085378,0,0,0,1
-0.7707165450191592,-0.14377956265633265,-0.6549667160018846,1.0062534190559442,0,0,1,0
-0.7707165450191592,0.40844426883783863,-0.35421976219442547,1.0376747814208818,0,1,0,0
-0.7707165450191592,-0.1326235256564504,0.04677617621552012,1.1162281873332258,0,0,1,0
-0.7707165450191592,-0.8912340416484432,0.8487680530354113,1.1476495496981634,0,0,0,1
-0.7707165450191592,-0.3669003026539776,-0.053472808386966275,1.1947815932455699,0,0,1,0
-0.7707165450191592,-0.651379246150975,0.24727414542049292,1.2262029556105074,0,0,1,0
-0.7707165450191592,-0.42268048765338884,-0.2539707775919391,1.2576243179754452,0,0,0,1
-0.7707165450191592,0.25225975083948715,0.1470251608180065,1.3047563615228515,0,0,0,1
-0.7707165450191592,1.7360126718238262,-1.256460623616803,1.3518884050702578,0,0,1,0
-0.7707165450191592,-0.06010928515721578,-0.35421976219442547,1.3833097674351955,0,0,1,0
-0.7707165450191592,2.50020120631576,-2.0584525004366943,1.414731129800133,0,1,0,0
-0.7707165450191592,-0.24418389565527288,0.6482700838304385,1.493284535712477,0,0,0,1
-0.7707165450191592,-0.33901021015427196,0.3475231300229793,1.5404165792598834,0,1,0,0
-0.7707165450191592,-0.22187182165550837,0.04677617621552012,1.6189699851722275,0,0,0,1
-0.7707165450191592,-0.3780563396538599,0.7485190684329249,1.6661020287196338,0,0,1,0
-0.7707165450191592,-1.4323018361427322,2.051755868265248,1.6975233910845715,1,0,1,0
-0.7707165450191592,-0.7071594311503862,1.2497639914453569,1.728944753449509,1,0,1,0
-0.7707165450191592,0.2634157878393694,-0.45446874679691185,-1.6959837443286894,0,0,1,0
-0.7707165450191592,-0.39479039515368325,0.3475231300229793,-1.6645623819637516,0,0,0,1
-0.7707165450191592,-0.5509749131520347,0.3475231300229793,-1.6174303384163453,0,0,0,1
-0.7707165450191592,1.0833845073307147,-1.3567096082192895,-1.5702982948689388,0,0,1,0
-0.7707165450191592,0.40844426883783863,-0.755215700604371,-1.5388769325040013,0,1,0,0
-0.7707165450191592,-0.4505705801530945,0.24727414542049292,-1.4603235265916572,0,1,0,0
-0.7707165450191592,-0.5900210426516226,2.252253837470221,-1.3817701206793134,1,0,1,0
-0.7707165450191592,-1.231493170144852,1.9515068836627616,-1.3503487583143756,0,0,1,0
-0.7707165450191592,0.39728823183795636,-0.45446874679691185,-1.318927395949438,0,0,0,1
-0.7707165450191592,-0.42825850615332994,1.049266022240384,-1.2717953524020318,0,0,1,0
-0.7707165450191592,2.1487860408194694,-1.958203515834208,-1.240373990037094,0,0,0,1
-0.7707165450191592,0.291305880339075,-0.6549667160018846,-1.1932419464896877,0,0,0,1
-0.7707165450191592,-1.2984293921441452,1.8512578990602753,-1.1461099029422812,0,0,1,0
-0.7707165450191592,-0.8744999861486199,0.3475231300229793,-1.1146885405773437,0,0,1,0
-0.7707165450191592,0.4419123798374854,-0.5547177313993983,-1.0832671782124061,0,0,1,0
-0.7707165450191592,2.505779224815701,-1.8579545312317214,-1.0518458158474686,0,0,1,0
-0.7707165450191592,-0.5732869871517992,1.049266022240384,-1.0204244534825309,0,0,1,0
-0.7707165450191592,-1.3095854291440276,0.9490170376378977,-0.9890030911175933,0,0,1,0
-0.7707165450191592,-0.35574426565409534,0.9490170376378977,-0.9575817287526557,0,0,1,0
-0.7707165450191592,1.590984190825357,-1.5572075774242622,-0.9261603663877181,0,1,0,0
-0.7707165450191592,-1.097620726146265,0.8487680530354113,-0.8476069604753741,0,0,0,1
-0.7707165450191592,-0.2999640806546841,0.04677617621552012,-0.8004749169279677,0,0,1,0
-0.7707165450191592,0.7152352863346004,-0.9557136698093438,-0.7690535545630302,0,0,1,0
-0.7707165450191592,-0.517506802152388,-0.15372179298945268,-0.7376321921980925,0,0,1,0
-0.7707165450191592,-1.3263194846438509,1.6507599298553024,-0.7062108298331549,0,0,1,0
-0.7707165450191592,-0.8912340416484432,0.3475231300229793,-0.6747894674682173,0,0,1,0
-0.7707165450191592,0.3749761578381919,-0.6549667160018846,-0.6433681051032797,0,0,1,0
-0.7707165450191592,0.0012489183421365822,0.3475231300229793,-0.6119467427383422,0,0,0,1
-0.7707165450191592,-0.3445882286542131,0.9490170376378977,-0.5648146991909357,0,0,1,0
-0.7707165450191592,0.7096572678346593,-0.5547177313993983,-0.5333933368259981,0,0,1,0
-0.7707165450191592,-0.7852516901495619,1.1495150068428706,-0.5019719744610606,0,1,0,0
-0.7707165450191592,0.7765934898339528,-0.5547177313993983,-0.4234185685487165,0,1,0,0
-0.7707165450191592,6.354611989775077,-2.9606933618590716,-0.3448651626363725,1,0,0,1
-0.7707165450191592,-0.47846067265280007,0.24727414542049292,-0.2977331190889661,0,0,1,0
-0.7707165450191592,-0.5955990611515637,0.9490170376378977,-0.2663117567240285,0,1,0,0
-0.7707165450191592,-0.0656873036571569,0.04677617621552012,-0.18775835081168452,0,0,0,1
-0.7707165450191592,0.27457182483925163,-0.45446874679691185,-0.14062630726427813,0,0,1,0
-0.7707165450191592,-0.5900210426516226,0.7485190684329249,-0.10920494489934052,0,0,1,0
-0.7707165450191592,0.39171021333801526,-0.45446874679691185,-0.07778358253440293,0,0,1,0
-0.7707165450191592,0.20205758434001705,0.1470251608180065,-0.046362220169465326,0,0,1,0
-0.7707165450191592,0.5423167128364256,-0.45446874679691185,-0.014940857804527726,0,0,0,1
-0.7707165450191592,-0.2720739881549785,-0.2539707775919391,0.03219118574287867,0,0,1,0
-0.7707165450191592,1.1280086553302437,-0.755215700604371,0.06361254810781627,0,0,1,0
-0.7707165450191592,-1.0864646891463825,1.3500129760478432,0.09503391047275388,0,0,0,1
-0.7707165450191592,0.39171021333801526,-0.45446874679691185,0.14216595402016027,0,0,1,0
-0.7707165450191592,-0.6569572646509161,2.051755868265248,0.17358731638509786,1,0,0,1
-0.7707165450191592,0.291305880339075,-0.35421976219442547,0.22071935993250427,0,0,1,0
-0.7707165450191592,-0.3445882286542131,0.44777211462546573,0.2521407222974419,0,0,1,0
-0.7707165450191592,-0.0879993776569214,-0.35421976219442547,0.2835620846623795,0,0,1,0
-0.7707165450191592,0.20205758434001705,-0.6549667160018846,0.31498344702731707,0,0,1,0
-0.7707165450191592,-1.0864646891463825,1.2497639914453569,0.34640480939225465,0,1,0,0
-0.7707165450191592,-0.8521879121488554,0.44777211462546573,0.42495821530459865,0,0,1,0
-0.7707165450191592,0.2801498433391928,-0.2539707775919391,0.45637957766953624,0,0,0,1
-0.7707165450191592,0.051451084841606695,0.04677617621552012,0.5035116212169427,0,0,1,0
-0.7707165450191592,-0.22187182165550837,-0.15372179298945268,0.5349329835818802,0,0,1,0
-0.7707165450191592,0.6985012308347771,-0.8554646852068575,0.5663543459468179,0,0,1,0
-0.7707165450191592,-0.5119287836524469,-0.15372179298945268,0.5977757083117554,0,0,1,0
-0.7707165450191592,-0.5844430241516815,0.6482700838304385,0.6291970706766931,0,0,0,1
-0.7707165450191592,-0.6848473571506217,1.2497639914453569,0.6763291142240995,0,0,1,0
-0.7707165450191592,1.6077182463251802,-1.5572075774242622,0.7077504765890371,0,1,0,0
-0.7707165450191592,-1.3095854291440276,0.5480210992279521,0.7863038825013811,0,0,1,0
-0.7707165450191592,0.1685894733403703,-0.5547177313993983,0.8177252448663187,0,0,1,0
-0.7707165450191592,0.25225975083948715,-1.0559626544118303,0.8491466072312562,0,0,1,0
-0.7707165450191592,-0.9860603561474424,1.3500129760478432,0.8805679695961939,0,0,1,0
-0.7707165450191592,-1.1701349666454994,0.9490170376378977,0.9119893319611314,0,0,1,0
-0.7707165450191592,0.0012489183421365822,-0.35421976219442547,0.943410694326069,0,0,1,0
-0.7707165450191592,0.5032705833368377,-0.2539707775919391,0.9748320566910067,0,0,0,1
-0.7707165450191592,-0.004329100157804542,-0.755215700604371,1.021964100238413,0,0,1,0
-0.7707165450191592,0.17416749184031144,-0.5547177313993983,1.0533854626033508,0,0,1,0
-0.7707165450191592,-0.7294715051501507,0.3475231300229793,1.0848068249682883,0,0,1,0
-0.7707165450191592,-0.6402232091510927,0.7485190684329249,1.1162281873332258,0,0,1,0
-0.7707165450191592,-0.14935758115627376,-0.5547177313993983,1.1476495496981634,0,0,1,0
-0.7707165450191592,-0.33901021015427196,0.24727414542049292,1.179070912063101,0,0,1,0
-0.7707165450191592,0.787749526833835,-0.6549667160018846,1.2104922744280386,0,0,0,1
-0.7707165450191592,-0.24418389565527288,-0.15372179298945268,1.2576243179754452,0,0,1,0
-0.7707165450191592,0.07376315884137119,-0.35421976219442547,1.2890456803403827,0,0,0,1
-1.2672482709688728,-0.8131417826492675,1.049266022240384,1.336177723887789,0,0,1,0
-0.7707165450191592,0.4028662503378975,-0.9557136698093438,1.3675990862527267,0,0,1,0
-0.7707165450191592,-1.1143547816460881,1.1495150068428706,1.3990204486176643,0,0,0,1
-0.7707165450191592,1.328817321328124,-1.5572075774242622,1.4461524921650706,0,0,1,0
-0.7707165450191592,-1.064152615146618,1.8512578990602753,1.4775738545300083,1,0,1,0
-0.7707165450191592,-0.5398188761521524,0.44777211462546573,1.5089952168949459,0,0,1,0
-0.7707165450191592,-0.8019857456493853,0.9490170376378977,1.5404165792598834,0,0,0,1
-1.2672482709688728,0.4921145463369555,-0.8554646852068575,1.58754862280729,0,0,0,1
-1.2672482709688728,0.2578377693394283,-0.6549667160018846,1.6346806663546962,0,0,1,0
-0.7707165450191592,-0.3892123766537421,0.5480210992279521,1.6661020287196338,0,0,1,0
-0.7707165450191592,-0.9860603561474424,1.6507599298553024,1.6975233910845715,1,0,1,0
-0.7707165450191592,-0.746205560649974,1.6507599298553024,1.728944753449509,1,0,1,0
-0.7707165450191592,0.6873451938348948,-0.755215700604371,-1.6959837443286894,0,0,1,0
-0.7707165450191592,-0.40594643215356546,0.24727414542049292,-1.6645623819637516,0,0,0,1
-0.7707165450191592,0.45306841683736765,-0.45446874679691185,-1.6174303384163453,0,0,1,0
-0.7707165450191592,-1.013950448647148,0.8487680530354113,-1.5860089760514078,0,0,1,0
-0.7707165450191592,-0.13820154415639152,-0.2539707775919391,-1.55458761368647,0,0,1,0
-0.7707165450191592,-0.2776520066549196,0.04677617621552012,-1.5231662513215325,0,0,1,0
-0.7707165450191592,-1.1589789296456172,2.352502822072707,-1.491744888956595,0,0,1,0
-0.7707165450191592,0.425178324337662,-1.0559626544118303,-1.4603235265916572,0,0,1,0
-0.7707165450191592,-0.3166981361545075,-0.2539707775919391,-1.4289021642267197,0,0,1,0
-0.7707165450191592,-0.6625352831508572,2.352502822072707,-1.3974808018617821,1,0,0,1
-0.7707165450191592,-0.09357739615686253,0.9490170376378977,-1.3503487583143756,0,0,0,1
-0.7707165450191592,0.6427210458353658,-0.755215700604371,-1.3032167147669693,0,0,1,0
-0.7707165450191592,1.100118562830538,-1.3567096082192895,-1.2717953524020318,0,0,0,1
-0.7707165450191592,0.2689938063393105,-0.755215700604371,-1.2246633088546253,0,0,0,1
-0.7707165450191592,-0.8298758381490909,0.7485190684329249,-1.177531265307219,0,0,1,0
-0.7707165450191592,-0.47288265415285896,-0.2539707775919391,-1.1461099029422812,0,0,1,0
-0.7707165450191592,-0.5509749131520347,0.3475231300229793,-1.1146885405773437,0,1,0,0
-1.2672482709688728,2.316126595817703,-1.8579545312317214,-1.0361351346649996,0,0,1,0
-1.2672482709688728,1.45711174682677,-1.5572075774242622,-1.004713772300062,0,1,0,0
-0.7707165450191592,-0.08242135915698028,-0.2539707775919391,-0.9261603663877181,0,0,1,0
-0.7707165450191592,-0.10473343315674477,-0.053472808386966275,-0.8947390040227805,0,1,0,0
-0.7707165450191592,-0.48403869115274123,0.04677617621552012,-0.8161855981104366,0,0,0,1
-0.7707165450191592,-0.3055420991546252,0.04677617621552012,-0.7690535545630302,0,0,1,0
-0.7707165450191592,-0.6290671721512104,0.6482700838304385,-0.7376321921980925,0,0,1,0
-0.7707165450191592,0.6315650088354836,-1.1562116390143167,-0.7062108298331549,0,0,1,0
-0.7707165450191592,-0.7685176346497385,1.4502619606503298,-0.6747894674682173,0,0,1,0
-0.7707165450191592,1.1782108218297138,-1.3567096082192895,-0.6433681051032797,0,0,0,1
-0.7707165450191592,-0.33343219165433086,1.049266022240384,-0.5962360615558733,0,1,0,0
-0.7707165450191592,0.45306841683736765,-1.0559626544118303,-0.5176826556435293,0,0,0,1
-0.7707165450191592,1.5630940983256514,-1.6574565620267487,-0.4705506120961229,0,0,1,0
-0.7707165450191592,-0.4617266171529767,0.3475231300229793,-0.43912924973118533,0,0,0,1
-0.7707165450191592,0.4865365278370144,-0.35421976219442547,-0.3919972061837789,0,0,1,0
-0.7707165450191592,-0.8298758381490909,0.9490170376378977,-0.36057584381884134,0,0,0,1
-0.7707165450191592,-0.3892123766537421,0.3475231300229793,-0.3134438002714349,0,0,1,0
-0.7707165450191592,2.8571943903119923,-2.0584525004366943,-0.28202243790649734,0,0,1,0
-0.7707165450191592,0.16301145484042917,-0.35421976219442547,-0.25060107554155975,0,0,1,0
-0.7707165450191592,0.2801498433391928,-0.6549667160018846,-0.21917971317662213,0,0,1,0
-0.7707165450191592,1.4850018393264757,-0.8554646852068575,-0.18775835081168452,0,0,1,0
-0.7707165450191592,-0.8577659306487965,0.24727414542049292,-0.15633698844674693,0,1,0,0
-0.7707165450191592,-0.5732869871517992,0.6482700838304385,-0.07778358253440293,0,0,1,0
-0.7707165450191592,-0.5621309501519169,0.5480210992279521,-0.046362220169465326,0,0,1,0
-0.7707165450191592,-0.3669003026539776,0.24727414542049292,-0.014940857804527726,0,0,1,0
-0.7707165450191592,-1.1366668556458528,0.04677617621552012,0.016480504560409875,0,0,1,0
-0.7707165450191592,-0.8187198011492086,0.44777211462546573,0.047901866925347474,0,1,0,0
-0.7707165450191592,-0.9302801711480311,1.1495150068428706,0.12645527283769148,0,0,0,1
-0.7707165450191592,0.9885581928317155,-0.9557136698093438,0.17358731638509786,0,0,0,1
-0.7707165450191592,-0.8019857456493853,0.6482700838304385,0.22071935993250427,0,0,1,0
-0.7707165450191592,0.9718241373318922,-1.4569585928217759,0.2521407222974419,0,0,1,0
-1.2672482709688728,3.2922798333073997,-2.1587014850391806,0.2835620846623795,0,1,0,0
-1.2672482709688728,0.15743343634048806,-0.45446874679691185,0.3621154905747235,0,0,0,1
